Operator,Run Order,minimum delay,motion,background,font scae,text color,frame motion,maximum delay
Petr,98,1,1,-1,1,-1,1,1
Petr,99,1,1,1,1,-1,1,-1
Petr,100,-1,-1,-1,-1,1,1,-1
Petr,101,1,1,1,1,1,1,-1
Petr,102,-1,-1,1,1,1,1,-1
Petr,103,-1,1,1,1,-1,-1,1
Petr,104,1,1,-1,1,1,-1,-1
Petr,105,-1,1,-1,-1,-1,-1,-1
Petr,106,-1,-1,-1,-1,-1,-1,-1
Petr,107,1,-1,1,-1,-1,-1,-1
Petr,108,-1,1,-1,-1,1,1,-1
Petr,109,-1,-1,-1,1,1,-1,-1
Petr,110,-1,1,-1,1,-1,1,1
Petr,111,-1,1,1,-1,1,-1,-1
Petr,112,-1,-1,-1,1,-1,1,1
Petr,113,-1,-1,-1,-1,1,-1,-1
Petr,114,1,1,-1,-1,-1,1,-1
Petr,115,1,1,-1,-1,1,-1,-1
Petr,116,1,-1,1,-1,1,-1,-1
Petr,117,1,1,1,-1,1,1,-1
Petr,118,-1,-1,1,1,1,1,1
Petr,119,1,1,-1,-1,-1,-1,-1
Petr,120,-1,-1,1,-1,-1,1,1
Petr,121,-1,1,-1,1,-1,1,-1
Petr,122,1,1,1,-1,-1,1,1
Petr,123,1,-1,1,-1,-1,1,-1
Petr,124,-1,1,-1,-1,1,-1,1
Petr,125,1,-1,1,1,-1,-1,-1
Petr,126,-1,-1,-1,1,-1,-1,1
Petr,127,1,1,1,1,1,1,1
Petr,128,-1,1,-1,1,-1,-1,-1
